0,1,2,3,4
49814,32389,32389,31179,29362
19946,17591,17591,15551,13727
25359,16127,16127,14583,18463
63413,20857,20857,16351,17118
46003,27080,27080,25586,25417
26318,12848,12848,13601,15070
19693,15852,15852,13875,13589
34010,18107,18107,13197,14133
18602,16540,16540,15235,13063
28578,13026,13026,11511,10366
14248,4885,4885,4571,4190
46438,24505,24505,26195,25789
12320,10282,10282,9296,5990
22581,19308,19308,17873,14674
18093,9150,9150,8122,7650
17929,11920,11920,10760,11019
21013,9028,9028,8776,10177
32101,16723,16723,17048,14676
22762,10774,10774,9596,8340
21289,15230,15230,13766,14681
64829,42644,42644,40726,43077
18814,16550,16550,11435,9329
21258,19476,19476,16720,15274
35520,17002,17002,15093,20566
15589,9624,9624,9780,8463
36689,18496,18496,14102,13402
35215,12546,12546,12188,10720
24013,10549,10549,9475,8963
31655,19299,19299,15887,17981
39959,20063,20063,15893,16212
13415,9912,9912,9906,10615
21005,13553,13553,13093,13806
13864,12203,12203,11644,10540
18557,7740,7740,7752,8608
23064,12789,12789,12340,14269
16510,11883,11883,11059,11030
17652,19623,19623,16341,15110
57484,22945,22945,19915,20209
19682,17289,17289,15249,14248
22904,12164,12164,10893,11260
47661,36859,36859,35936,41757
51287,45459,45459,37478,21370
35556,11605,11605,10896,10562
35205,23213,23213,21835,19743
46513,25626,25626,24321,24670
82415,58269,58269,56259,60691
62504,36607,36607,38979,40681
25400,22105,22105,18517,17085
42192,19575,19575,20314,21046
27065,26288,26288,21873,20804
27748,16683,16683,13815,15464
38712,28635,28635,26927,25033
24279,11680,11680,7218,7355
71099,38272,38272,38609,44820
82796,70324,70324,50878,48580
59712,33427,33427,31587,37390
38160,17994,17994,16756,17423
39047,32953,32953,31468,30720
41138,18522,18522,18242,19311
41930,23318,23318,18420,22402
37731,17896,17896,19092,19719
35216,24009,24009,21533,23182
40688,12239,12239,10404,10502
39868,14974,14974,12803,12634
65542,59676,59676,54949,47830
28703,14257,14257,10977,9937
52247,24335,24335,24124,24379
39213,18044,18044,17896,21381
19896,21996,21996,18332,15174
50437,39803,39803,35287,30762
32748,16133,16133,15631,14965
35847,22868,22868,22811,20271
16836,9681,9681,10348,11670
37706,25654,25654,25930,24957
47367,28014,28014,26373,26834
47602,28081,28081,24765,29052
22633,15256,15256,14668,13070
76775,54655,54655,43371,37508
68752,56004,56004,52559,47859
53128,36033,36033,36458,37752
40822,27681,27681,28195,28468
40014,36815,36815,33952,25000
50386,23739,23739,22832,20709
37874,23492,23492,22877,22858
47531,38202,38202,35234,28076
26701,13094,13094,12773,12423
31708,17021,17021,15029,18060
59080,42426,42426,42707,41187
80170,52194,52194,45097,53056
21747,12080,12080,12140,12131
42078,27965,27965,25645,27245
59326,48169,48169,40529,41739
27360,15124,15124,14172,13921
36627,10849,10849,9992,11328
33239,24535,24535,20234,13811
17710,12149,12149,8782,8894
13156,8545,8545,7784,8165
23574,17717,17717,16870,15130
35730,39655,39655,33664,29200
29487,14081,14081,11883,11028
29015,16515,16515,16018,16573
24001,12906,12906,11196,9730
36178,31228,31228,29663,29499
9445,6594,6594,5709,6188
26404,16742,16742,12763,13006
68462,30576,30576,29076,29156
20972,12439,12439,11191,11971
22190,13592,13592,13881,13668
61095,29010,29010,29794,35015
16052,10995,10995,10352,10234
29970,15143,15143,14925,16056
20959,7691,7691,7018,6676
15562,7121,7121,7073,7020
20810,14329,14329,10871,11405
17744,7991,7991,8202,8299
27582,7928,7928,7182,6754
18255,9692,9692,9569,9809
13230,8974,8974,8195,7457
12648,6257,6257,6418,7311
57457,4425,4425,4613,4775
24412,8581,8581,7292,7966
17419,11895,11895,11463,12821
28468,22516,22516,21867,22297
20475,16864,16864,16104,15201
27049,10616,10616,9280,8262
39085,31135,31135,24106,22361
7531,4016,4016,3964,3916
10105,10026,10026,9983,8452
28714,13883,13883,13390,15739
6691,8586,8586,7963,7519
36436,21191,21191,19170,16966
43608,25408,25408,22823,20166
15817,11576,11576,11414,11032
23547,5595,5595,5038,4754
54058,26138,26138,25256,25307
50399,27662,27662,24054,27696
15932,9072,9072,8579,8807
37761,34534,34534,29584,27866
20023,13336,13336,12811,12813
35360,15590,15590,14443,15532
7269,6487,6487,6524,6319
12415,7768,7768,7563,7529
20908,12452,12452,9612,8879
25464,10803,10803,9636,10083
27166,11632,11632,10977,11244
34012,15014,15014,14682,12242
22184,17323,17323,15759,15441
26126,16911,16911,17098,14500
19640,11561,11561,9442,11240
12263,6842,6842,5540,6679
19624,4093,4093,4112,3955
16118,10978,10978,10570,10505
30356,21046,21046,20559,18356
44073,19829,19829,17763,13391
50766,36308,36308,34371,34465
5688,6871,6871,6238,5624
18527,10935,10935,10620,11054
15764,7453,7453,6388,7003
16504,7737,7737,6984,7693
32073,19158,19158,18510,15979
28110,16689,16689,13420,14790
17129,8188,8188,7352,8050
18546,21914,21914,20492,18522
26501,16497,16497,15456,14301
44344,7814,7814,8821,13570
25395,20339,20339,20513,20533
22622,11748,11748,11154,10210
35488,21663,21663,21014,25648
32444,18405,18405,18571,18322
12860,8986,8986,8240,9146
26902,8725,8725,7655,9644
17871,15129,15129,12552,11494
40789,30820,30820,30042,14082
35395,8355,8355,7567,8161
35850,15618,15618,14083,14138
23898,14394,14394,13414,12895
21161,16180,16180,15725,16493
25256,10633,10633,10103,9849
29213,15596,15596,12770,11519
25647,7773,7773,8341,10128
17401,11841,11841,11634,11633
18359,12136,12136,12127,11972
34513,15132,15132,14701,16150
23072,15246,15246,14522,12727
28122,12254,12254,12190,13441
38845,28997,28997,25819,23845
44676,28360,28360,26295,26253
24367,14996,14996,13628,11638
31105,15348,15348,16277,20855
11020,9481,9481,8294,7748
10160,4272,4272,4072,3981
16684,8004,8004,7317,9572
33451,10533,10533,6909,6716
27095,7545,7545,4537,4059
25696,14480,14480,13436,12874
20378,4906,4906,4723,4691
53775,20477,20477,18928,22037
42793,32421,32421,33761,29383
64618,39658,39658,39011,35864
40634,22699,22699,20528,24634
35527,18216,18216,18461,18082
50865,33709,33709,28519,33701
28158,14541,14541,13306,13947
37482,15658,15658,14712,15923
40981,23718,23718,21171,17438
69142,40786,40786,37296,37198
45040,24410,24410,24003,22083
39332,33820,33820,24489,25448
20243,16114,16114,12965,12084
54661,41307,41307,39746,41940
23883,11913,11913,8489,10537
12312,6076,6076,5624,5314
17922,10756,10756,9878,8269
34061,30331,30331,23726,20551
32275,22004,22004,19922,19621
24755,20259,20259,18857,17612
17177,9875,9875,9263,8645
59639,43678,43678,41286,39456
20277,12041,12041,12553,13109
13357,10755,10755,10477,10021
13327,8441,8441,8312,9071
24673,13950,13950,12795,14814
40767,21896,21896,18988,18981
17324,8827,8827,8639,9167
14700,6264,6264,5921,5565
22702,12604,12604,11374,12514
42454,24250,24250,18958,16309
33732,21424,21424,21420,22702
11513,8364,8364,6159,5810
15185,15499,15499,12465,9460
21997,5143,5143,5361,5763
12063,12282,12282,11170,11543
17551,12053,12053,9012,9539
14597,14344,14344,13215,12109
44946,41292,41292,36990,34883
34940,15464,15464,13836,16566
35265,19066,19066,16281,16227
25056,15459,15459,14621,14416
35412,33977,33977,27800,23432
40903,30499,30499,30604,29518
98062,63886,63886,64361,71761
26468,14251,14251,12807,14143
50347,37786,37786,34916,35878
45393,20227,20227,19512,18422
18441,8499,8499,7950,8809
30256,20079,20079,17473,16517
52891,36953,36953,38573,31859
12553,6555,6555,6053,8196
16191,17345,17345,15688,13487
12265,7473,7473,7259,6994
19654,11305,11305,9826,9391
16818,14363,14363,11617,8312
10723,7645,7645,7302,6912
29871,21600,21600,19400,19518
20368,11810,11810,11944,12840
28990,16046,16046,13745,12939
8610,4804,4804,4734,4977
19301,11299,11299,10970,10935
26727,14603,14603,16050,16196
7332,6449,6449,6000,5929
13515,8480,8480,7233,7516
11964,9272,9272,8724,8389
25202,20219,20219,19231,19634
11406,8691,8691,7476,8490
7861,5634,5634,5223,5360
21616,12550,12550,10646,9235
37216,28011,28011,25151,18777
18542,11419,11419,9612,9284
18445,10023,10023,11245,11398
34484,15554,15554,15206,17123
33349,26654,26654,20776,17799
25576,7848,7848,7924,8194
26542,16800,16800,15450,16364
38475,11841,11841,10761,11190
17481,12215,12215,10588,11326
33108,15095,15095,13010,14905
10144,12081,12081,9765,8121
21141,12103,12103,11422,10213
11346,6284,6284,6465,5437
31664,20206,20206,18027,17154
25336,19594,19594,17369,16534
36115,24888,24888,22310,19681
52029,42568,42568,37772,33034
20841,12461,12461,11428,11139
37051,28214,28214,22437,21185
23003,8492,8492,8828,9608
31216,15018,15018,13769,15508
16209,8514,8514,8707,10090
27371,11524,11524,9422,7755
21294,12552,12552,11184,9956
36551,19278,19278,16496,16154
18459,9025,9025,7849,8840
36332,22864,22864,20825,19254
14509,12261,12261,8457,7258
35203,20194,20194,19288,18879
14029,10660,10660,9939,9427
19832,9346,9346,9523,11145
16069,7097,7097,6670,6846
27573,10052,10052,8590,7620
40654,24879,24879,22479,22984
66086,36086,36086,29353,28323
52455,31469,31469,30739,32568
36315,24699,24699,25110,13369
38440,26534,26534,23988,25579
29055,19935,19935,20527,20194
55521,39385,39385,38230,35863
37490,23633,23633,18969,18215
65636,32242,32242,37573,34661
47003,25466,25466,24917,25317
40772,30198,30198,28396,27567
31215,21380,21380,16092,15840
22928,22622,22622,19122,18055
71592,35897,35897,37634,42556
81852,36503,36503,35279,34873
24252,18883,18883,17769,16475
27101,21189,21189,19058,19791
46638,31323,31323,31646,31307
40805,23327,23327,21996,23121
66233,47103,47103,37119,38256
28774,19309,19309,17409,16127
31418,28681,28681,25493,18187
43089,35683,35683,32966,29922
33666,14591,14591,14861,15953
59012,51091,51091,46242,45407
28159,13068,13068,11448,10998
42378,35092,35092,32442,34438
26321,23421,23421,21102,19591
89253,66711,66711,69547,56820
56989,42256,42256,40834,39327
42281,42460,42460,30425,26487
28383,17415,17415,16147,15398
49276,45384,45384,41023,36636
25479,11973,11973,12180,12371
35696,29337,29337,24967,24054
9662,7609,7609,7035,6901
38249,21950,21950,19492,19798
75380,43495,43495,40355,45026
