0,1,2,3,4
72764,44685,44685,40567,39732
39795,23018,23018,23076,26359
29769,29473,29473,25855,26030
62345,43895,43895,34785,20780
66016,31829,31829,28239,34828
30481,31600,31600,23946,23475
38024,28184,28184,28940,29868
65799,42931,42931,44965,41036
25624,22650,22650,20454,19166
57115,37021,37021,29658,30939
33543,17195,17195,15796,12983
69067,69596,69596,65372,58963
15167,15110,15110,14466,15108
39741,27166,27166,26213,25909
38199,48024,48024,35898,27941
50591,23670,23670,22207,30426
33355,21580,21580,18194,20585
42533,44762,44762,42308,34603
72660,39745,39745,30651,30754
38038,25264,25264,24335,21973
72051,56349,56349,54087,46995
34263,23851,23851,21391,20540
57590,30801,30801,27733,27864
62788,38755,38755,36368,36620
27463,22118,22118,19263,18193
50010,38491,38491,32774,28897
90553,44748,44748,48994,48842
40631,20433,20433,18821,17558
43833,40520,40520,38179,36475
63340,57612,57612,46791,37843
26410,19487,19487,17958,17891
42290,49033,49033,44919,43973
32101,25054,25054,25757,22410
28879,24648,24648,21624,22002
49468,38156,38156,36494,27016
36682,24777,24777,22653,24203
32119,28858,28858,28560,29002
104874,27264,27264,27729,38254
31845,28474,28474,27794,26716
75497,36451,36451,37406,39108
67651,54331,54331,53435,55173
75967,55439,55439,47709,41434
61703,20745,20745,20999,22129
50585,34357,34357,34797,31688
52949,28614,28614,27954,29253
91574,74710,74710,69600,72306
84757,68320,68320,67720,65469
37449,21532,21532,21034,24221
48517,33950,33950,33672,28893
74701,58830,58830,58203,69588
35500,21998,21998,19937,19075
50548,43687,43687,39302,33302
28541,14178,14178,10722,13471
122313,78269,78269,77069,63767
86918,66942,66942,53449,51111
71291,56302,56302,49425,53003
55062,37786,37786,29142,28651
53170,36446,36446,37423,36178
53156,51785,51785,45165,36630
57958,48690,48690,45208,43115
47897,29846,29846,27252,25627
45004,52510,52510,46049,41542
78738,27493,27493,22411,20367
66552,31002,31002,25237,28475
109238,82050,82050,79488,77065
87263,65739,65739,59489,46766
46143,37613,37613,31041,27843
52772,28702,28702,32783,31164
34338,20464,20464,20410,22395
69810,57735,57735,59059,50917
66972,24366,24366,22608,33087
50976,51676,51676,47210,40041
22467,15534,15534,15149,15702
70232,61965,61965,53333,56099
71129,45898,45898,38095,37437
69849,60125,60125,54098,54436
47952,23648,23648,22689,24966
95345,76283,76283,66881,56290
82424,76795,76795,68343,61563
75185,59679,59679,59674,59279
45356,38867,38867,36998,36687
53628,45225,45225,42393,43956
74841,46567,46567,42225,44079
64300,52358,52358,54084,51750
52445,54153,54153,48010,43797
61566,30719,30719,26713,27863
44171,32280,32280,29266,28354
76604,65776,65776,62343,60550
93092,67702,67702,66266,64030
28962,29629,29629,27856,23152
61314,39759,39759,41808,39028
75464,76597,76597,64669,54621
44039,23939,23939,24365,23177
151853,120008,120008,102760,79099
59493,37651,37651,32676,35977
24179,17040,17040,13698,13576
27464,17804,17804,15726,17078
28995,18400,18400,18902,17984
58361,44148,44148,45987,47359
57273,40164,40164,35095,37014
43196,33012,33012,34942,35687
58397,79244,79244,68286,46635
45506,37549,37549,37053,33162
65288,31387,31387,29713,23790
39932,32176,32176,26544,25865
89509,70880,70880,63792,60435
64034,60718,60718,59330,47321
74156,39864,39864,31472,29764
104632,92864,92864,86243,96953
37035,34396,34396,31772,30200
59468,53435,53435,50827,48868
93086,33757,33757,33891,32702
60521,52986,52986,46723,48789
37543,31831,31831,23814,25252
23403,30648,30648,24882,22415
136298,107682,107682,26748,26590
52614,30444,30444,29388,23735
37947,15259,15259,15664,15267
34755,12996,12996,15363,14881
131586,14105,14105,11890,12764
69216,43656,43656,43697,40610
31338,32314,32314,27688,27700
48235,62035,62035,57969,34346
109654,118864,118864,82728,72624
54089,23947,23947,17455,28508
66968,39369,39369,36024,42275
11466,6576,6576,4397,5249
28472,19227,19227,19134,19600
35587,30273,30273,29140,29494
